source,target,type
f9bbc83553ebf8fea9e485ce31b10799d69150e1,9009fa874c019c758d6e955d1fbf1d4676500fc7,citation
f9bbc83553ebf8fea9e485ce31b10799d69150e1,b3bee59bf0b24565afd0622681bb17b465be6d2c,citation
f9bbc83553ebf8fea9e485ce31b10799d69150e1,e305d91db22e9b14d583cf9cfd96e061bfa78e5b,citation
f9bbc83553ebf8fea9e485ce31b10799d69150e1,82f18c7165234a3f108ae030c1b99932eb758743,citation
f9bbc83553ebf8fea9e485ce31b10799d69150e1,ce64bb0741b9a4538ca7b023e510306c7959c874,citation
f9bbc83553ebf8fea9e485ce31b10799d69150e1,16dc2b45d6ebda3a698a3954ad5af76a13921e88,citation
f9bbc83553ebf8fea9e485ce31b10799d69150e1,492a1968ab2609dc6d669d876a1901560188d96b,citation
f9bbc83553ebf8fea9e485ce31b10799d69150e1,5bee665bb23008bfa6104f6dac6d2364b4a25f79,citation
f9bbc83553ebf8fea9e485ce31b10799d69150e1,acb4a2a6c50d155ed8502a7cac535d6963243581,citation
f9bbc83553ebf8fea9e485ce31b10799d69150e1,5a7b77e68b50d2b830ad4fd73c1dbdc3cc6ea10b,citation
f9bbc83553ebf8fea9e485ce31b10799d69150e1,c6a9f104f754e7d5e517df0def59596b4ecf2df1,citation
f9bbc83553ebf8fea9e485ce31b10799d69150e1,70c5e2ec70d2ea1d74182503b8f7b2251babf09c,citation
f9bbc83553ebf8fea9e485ce31b10799d69150e1,05520f75437cd1a36d66d85b3855da3834c31876,citation
f9bbc83553ebf8fea9e485ce31b10799d69150e1,961ce12c6d3aeb57b9146860ace228f0eb91703a,citation
f9bbc83553ebf8fea9e485ce31b10799d69150e1,0d03e7cfd354c52e5ec59dfb83cc69d1ad770ec6,citation
f9bbc83553ebf8fea9e485ce31b10799d69150e1,c79b979620b2a4193b3a5e0b7155da864aa1b597,reference
f9bbc83553ebf8fea9e485ce31b10799d69150e1,2a3d09e6cb6bc902ef9ea3913262f3e6fb874008,reference
f9bbc83553ebf8fea9e485ce31b10799d69150e1,f6e7e8b96b8ce1f32973318b3b88bc54f6eb4ab7,reference
f9bbc83553ebf8fea9e485ce31b10799d69150e1,33ed3d9a505131daf631ca5fa1307e3aafdd3343,reference
f9bbc83553ebf8fea9e485ce31b10799d69150e1,d035359d8ed1e89db5eb5b2455215a69f276ed94,reference
f9bbc83553ebf8fea9e485ce31b10799d69150e1,f46239e42370b0370427bfddda70869ca09fc758,reference
f9bbc83553ebf8fea9e485ce31b10799d69150e1,6a78c73c92d5e5d9759b46eff892baf1d6e83754,reference
f9bbc83553ebf8fea9e485ce31b10799d69150e1,e795f62df9ccac2a39e126f95404e5364d55193c,reference
f9bbc83553ebf8fea9e485ce31b10799d69150e1,207c4b5a58d2b47a1e1b5f8a6877018a99f1bf68,reference
f9bbc83553ebf8fea9e485ce31b10799d69150e1,f4a62db4dd86129561a16b0a18cc09985580554c,reference
f9bbc83553ebf8fea9e485ce31b10799d69150e1,874deb5f06f35e52ae13a921b23611eec4abd1da,reference
f9bbc83553ebf8fea9e485ce31b10799d69150e1,736973165f98105fec3729b7db414ae4d80fcbeb,reference
f9bbc83553ebf8fea9e485ce31b10799d69150e1,cb4f1fb55f4580e9812d5de96365fce67c0ef79b,reference
f9bbc83553ebf8fea9e485ce31b10799d69150e1,10194e9d1d6b8ca8870445c990d4933c1dac1125,reference
f9bbc83553ebf8fea9e485ce31b10799d69150e1,80d7b9180299ed1954dbc3acde4ad4efa8974e0a,reference
cc453649a6830bb7e4ced7e353e16d186df8d442,332f1750ce3244c7335526a446eecc2ce04f379e,citation
cc453649a6830bb7e4ced7e353e16d186df8d442,9c479f024dfc5840b05c8fd0157b2770296d8b2c,citation
cc453649a6830bb7e4ced7e353e16d186df8d442,2d0a2f3f7383211cd970d36fa371ac269ead4081,citation
cc453649a6830bb7e4ced7e353e16d186df8d442,632bfbf636c01782e4cf72600a2f49ae0c6fb8d9,citation
cc453649a6830bb7e4ced7e353e16d186df8d442,577cc2ebc53d39bcd615433fd666aec130173cbf,citation
cc453649a6830bb7e4ced7e353e16d186df8d442,44e9cf43f8d066c8b3fc79ffdeece37812fdc043,citation
cc453649a6830bb7e4ced7e353e16d186df8d442,39634aaadaf604d0eb5132cfa0f4e45ca9dadc32,citation
cc453649a6830bb7e4ced7e353e16d186df8d442,e5734f0663769729edd81977848281ba18b158ec,citation
cc453649a6830bb7e4ced7e353e16d186df8d442,8fb34d79145d46d5a6069bdd92a11526408dbd62,citation
cc453649a6830bb7e4ced7e353e16d186df8d442,7978979d5835548ea1480c2242d68e3cd46eeb22,citation
cc453649a6830bb7e4ced7e353e16d186df8d442,c0f0053236accfcb4560686928ebe661dafa756d,citation
cc453649a6830bb7e4ced7e353e16d186df8d442,17d251561931cc33b4fca14cae425dbd8be998e0,citation
cc453649a6830bb7e4ced7e353e16d186df8d442,ff7c9150a99a7cfa08165ce84f02a2ee02a9e9a2,citation
cc453649a6830bb7e4ced7e353e16d186df8d442,351eb14fcf8fc7c331642a1e39c97d463f8ed82a,citation
cc453649a6830bb7e4ced7e353e16d186df8d442,88b55a53d6153239f0aded1c2655df69fc6ed143,citation
cc453649a6830bb7e4ced7e353e16d186df8d442,aed49b04bc5fce5f3d7629db16e7f4fc870ebd89,reference
cc453649a6830bb7e4ced7e353e16d186df8d442,7c2f83c8737648f6b78dee11b1a2e97400d5bc75,reference
cc453649a6830bb7e4ced7e353e16d186df8d442,336d62ea5c8840afc7b8bf9fed801dabfe7daf7d,reference
cc453649a6830bb7e4ced7e353e16d186df8d442,9c7ba900cd45fca293c5a42090c8a2fc043e8ec0,reference
cc453649a6830bb7e4ced7e353e16d186df8d442,f8c306a5e8a19f5806bac9f26de14d09f7686aac,reference
cc453649a6830bb7e4ced7e353e16d186df8d442,aaf046c4da99ee6184f3fd31961a9967272152f9,reference
cc453649a6830bb7e4ced7e353e16d186df8d442,ef8ab2a0be51a0cd04c2c0f01adfae956a2a84af,reference
cc453649a6830bb7e4ced7e353e16d186df8d442,204e3073870fae3d05bcbc2f6a8e263d9b72e776,reference
cc453649a6830bb7e4ced7e353e16d186df8d442,9b1e4e897b62085f2f4d731e5c3ec891b76b76cd,reference
cc453649a6830bb7e4ced7e353e16d186df8d442,e7a4865ca4207263ed4f2b54bb2d580ef0431360,reference
cc453649a6830bb7e4ced7e353e16d186df8d442,aab5002a22b9b4244a8329b140bd0a86021aa2d1,reference
cc453649a6830bb7e4ced7e353e16d186df8d442,6f80a31379f284c0d9be24c3d58326acc89e6495,reference
cc453649a6830bb7e4ced7e353e16d186df8d442,eba56a16763a489367dd5ca1ead995d75dbe8b1a,reference
cc453649a6830bb7e4ced7e353e16d186df8d442,f352ee70fd42f35dc887058851719c072a3df48c,reference
