paperId,title,abstract,year,citationCount,openAccessPdf,fieldsOfStudy,authors
f9bbc83553ebf8fea9e485ce31b10799d69150e1,Scaling transformer neural networks for skillful and reliable medium-range weather forecasting,"Weather forecasting is a fundamental problem for anticipating and mitigating the impacts of climate change. Recently, data-driven approaches for weather forecasting based on deep learning have shown great promise, achieving accuracies that are competitive with operational systems. However, those methods often employ complex, customized architectures without sufficient ablation analysis, making it difficult to understand what truly contributes to their success. Here we introduce Stormer, a simple transformer model that achieves state-of-the-art performance on weather forecasting with minimal changes to the standard transformer backbone. We identify the key components of Stormer through careful empirical analyses, including weather-specific embedding, randomized dynamics forecast, and pressure-weighted loss. At the core of Stormer is a randomized forecasting objective that trains the model to forecast the weather dynamics over varying time intervals. During inference, this allows us to produce multiple forecasts for a target lead time and combine them to obtain better forecast accuracy. On WeatherBench 2, Stormer performs competitively at short to medium-range forecasts and outperforms current methods beyond 7 days, while requiring orders-of-magnitude less training data and compute. Additionally, we demonstrate Stormer's favorable scaling properties, showing consistent improvements in forecast accuracy with increases in model size and training tokens. Code and checkpoints are available at https://github.com/tung-nd/stormer.",2023,48,"{'url': '', 'status': None, 'license': None, 'disclaimer': 'Notice: This abstract is extracted from the open access paper or abstract available at https://arxiv.org/abs/2312.03876, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","['Computer Science', 'Physics']","[{'authorId': '2175303602', 'name': 'Tung Nguyen'}, {'authorId': '2271549881', 'name': 'Rohan Shah'}, {'authorId': '103404553', 'name': 'Hritik Bansal'}, {'authorId': '107815606', 'name': 'T. Arcomano'}, {'authorId': '2273091847', 'name': 'Sandeep Madireddy'}, {'authorId': '20693875', 'name': 'R. Maulik'}, {'authorId': '93596922', 'name': 'V. Kotamarthi'}, {'authorId': '2272030154', 'name': 'Ian Foster'}, {'authorId': '2263888488', 'name': 'Aditya Grover'}]"
cc453649a6830bb7e4ced7e353e16d186df8d442,Predicting Retrosynthetic Reactions Using Self-Corrected Transformer Neural Networks,"Synthesis planning is the process of recursively decomposing target molecules into available precursors. Computer-aided retrosynthesis can potentially assist chemists in designing synthetic routes, but at present it is cumbersome and can't provide results of satisfactory qualities. In this study, we have developed a template-free self-corrected retrosynthesis predictor (SCROP) to predict retrosynthesis by using Transformer neural networks. In the method, the retrosynthesis planning was converted to a machine translation problem from the products to molecular linear notations of reactants. By coupling with a neural network-based syntax corrector, our method achieved an accuracy of 59.0% on a standard benchmark dataset, which outperformed >21% over other deep learning methods and >6% over template-based methods. More importantly, our method was 1.7 times more accurate than other state-of-the-art methods for compounds not appearing in the training set.",2019,196,"{'url': 'https://chemrxiv.org/engage/api-gateway/chemrxiv/assets/orp/resource/item/60c742af9abda2e77ff8c088/original/predicting-retrosynthetic-reaction-using-self-corrected-transformer-neural-networks.pdf', 'status': 'GREEN', 'license': 'CCBYNCND', 'disclaimer': 'Notice: This abstract is extracted from the open access paper or abstract available at https://api.unpaywall.org/v2/10.1021/acs.jcim.9b00949?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1021/acs.jcim.9b00949, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","['Medicine', 'Computer Science']","[{'authorId': '66119300', 'name': 'Shuangjia Zheng'}, {'authorId': '144238145', 'name': 'Jiahua Rao'}, {'authorId': '48806269', 'name': 'Zhongyue Zhang'}, {'authorId': '46372524', 'name': 'Jun Xu'}, {'authorId': '7607711', 'name': 'Yuedong Yang'}]"
88d8bf22f1bb3b5b3f109d13ce827a826e9670a3,A Comprehensive Interturn Fault Severity Diagnosis Method for Permanent Magnet Synchronous Motors Based on Transformer Neural Networks,"This article proposes a novel deep learning (DL)-based interturn short-circuit fault (ISCF) severity diagnosis method using the transformer neural network (TNN). The input features are the currents in alpha–beta reference frame while the outputs are the number of shorted turns and short-circuit (SC) current amplitude. By only monitoring the stator currents, this method provides a comprehensive overview of the fault severity. The proposed TNN creates multiple representations of the input using the multihead attention mechanism. This allows the network to focus on specific parts of the input signals and create an accurate estimate. The dataset was collected using a motor with rewound windings to simulate stator ISCF, which was operated under nine specific load and speed conditions and three numbers of shorted turns. Both the shorted turns and SC current amplitude estimations on the test dataset have higher than 96% accuracy. A comparison of several methods is presented based on various criteria. Based on the comparison and considering the achieved accuracy, the proposed method shows high potential in terms of comprehensiveness, accuracy, practicability, and cost.",2023,21,"{'url': '', 'status': 'CLOSED', 'license': None, 'disclaimer': 'Notice: This abstract is extracted from the open access paper or abstract available at https://api.unpaywall.org/v2/10.1109/TII.2023.3242773?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1109/TII.2023.3242773, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",['Computer Science'],"[{'authorId': '2204951504', 'name': 'Farbod Parvin'}, {'authorId': '1808497', 'name': 'J. Faiz'}, {'authorId': '31264197', 'name': 'Y. Qi'}, {'authorId': '2516483', 'name': 'A. Kalhor'}, {'authorId': '1784322', 'name': 'B. Akin'}]"
16fa1a8575ff56781b6b83726906754ed4e5f3a7,ViT-ReT: Vision and Recurrent Transformer Neural Networks for Human Activity Recognition in Videos,"Human activity recognition is an emerging and important area in computer vision which seeks to determine the activity an individual or group of individuals are performing. The applications of this field ranges from generating highlight videos in sports, to intelligent surveillance and gesture recognition. Most activity recognition systems rely on a combination of convolutional neural networks (CNNs) to perform feature extraction from the data and recurrent neural networks (RNNs) to determine the time dependent nature of the data. This paper proposes and designs two transformer neural networks for human activity recognition: a recurrent transformer (ReT), a specialized neural network used to make predictions on sequences of data, as well as a vision transformer (ViT), a transformer optimized for extracting salient features from images, to improve speed and scalability of activity recognition. We have provided an extensive comparison of the proposed transformer neural networks with the contemporary CNN and RNN-based human activity recognition models in terms of speed and accuracy for four publicly available human action datasets. Experimental results reveal that the proposed ViT-ReT framework attains a speedup of $2\times $ over the baseline ResNet50-LSTM approach while attaining nearly the same level of accuracy. Furthermore, results show that the proposed ViT-ReT framework attains significant improvements over the state-of-the-art human action recognition methods in terms of both model accuracy and runtime for each of the datasets used in our experiments, thus verifying the suitability of the proposed ViT-ReT framework for human activity recognition in resource-constrained and real-time environments.",2022,38,"{'url': 'https://ieeexplore.ieee.org/ielx7/6287639/6514899/10177697.pdf', 'status': 'GOLD', 'license': 'CCBYNCND', 'disclaimer': 'Notice: This abstract is extracted from the open access paper or abstract available at https://arxiv.org/abs/2208.07929, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",['Computer Science'],"[{'authorId': '2181812256', 'name': 'James Wensel'}, {'authorId': '2139890010', 'name': 'Hayat Ullah'}, {'authorId': '1748235', 'name': 'Arslan Munir'}]"
f4d324038d642dc245af77ae0437e7dc6a63e0b0,VITAL: Vision Transformer Neural Networks for Accurate Smartphone Heterogeneity Resilient Indoor Localization,"Wi-Fi fingerprinting-based indoor localization is an emerging embedded application domain that leverages existing Wi-Fi access points (APs) in buildings to localize users with smartphones. Unfortunately, the heterogeneity of wireless transceivers across diverse smartphones carried by users has been shown to reduce the accuracy and reliability of localization algorithms. In this paper, we propose a novel framework based on vision transformer neural networks called VITAL that addresses this important challenge. Experiments indicate that VITAL can reduce the uncertainty created by smartphone heterogeneity while improving localization accuracy from 41% to 68% over the best-known prior works. We also demonstrate the generalizability of our approach and propose a data augmentation technique that can be integrated into most deep learning-based localization frameworks to improve accuracy.",2023,10,"{'url': 'http://arxiv.org/pdf/2302.09443', 'status': 'GREEN', 'license': None, 'disclaimer': 'Notice: This abstract is extracted from the open access paper or abstract available at https://arxiv.org/abs/2302.09443, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",['Computer Science'],"[{'authorId': '2165469155', 'name': 'Danish Gufran'}, {'authorId': '48244748', 'name': 'Saideep Tiku'}, {'authorId': '1681003', 'name': 'S. Pasricha'}]"
e88282221e3809e5e859d605fae38afe54362c2f,Hypergraph Transformer Neural Networks,"Graph neural networks (GNNs) have been widely used for graph structure learning and achieved excellent performance in tasks such as node classification and link prediction. Real-world graph networks imply complex and various semantic information and are often referred to as heterogeneous information networks (HINs). Previous GNNs have laboriously modeled heterogeneous graph networks with pairwise relations, in which the semantic information representation for learning is incomplete and severely hinders node embedded learning. Therefore, the conventional graph structure cannot satisfy the demand for information discovery in HINs. In this article, we propose an end-to-end hypergraph transformer neural network (HGTN) that exploits the communication abilities between different types of nodes and hyperedges to learn higher-order relations and discover semantic information. Specifically, attention mechanisms weigh the importance of semantic information hidden in original HINs to generate useful meta-paths. Meanwhile, our method develops a multi-scale attention module to aggregate node embeddings in higher-order neighborhoods. We evaluate the proposed model with node classification tasks on six datasets: DBLP, ACM, IBDM, Reuters, STUD-BJUT, and Citeseer. Experiments on a large number of benchmarks show the advantages of HGTN.",2022,24,"{'url': 'https://doi.org/10.1145/3565028', 'status': 'CLOSED', 'license': None, 'disclaimer': 'Notice: This abstract is extracted from the open access paper or abstract available at https://api.unpaywall.org/v2/10.1145/3565028?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/3565028, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",['Computer Science'],"[{'authorId': '31289209', 'name': 'Meng Li'}, {'authorId': '2144288501', 'name': 'Yong Zhang'}, {'authorId': '2108751200', 'name': 'Xiaoyong Li'}, {'authorId': '49889227', 'name': 'Yuchen Zhang'}, {'authorId': '1714354', 'name': 'Baocai Yin'}]"
603f52d670aff69e0cad2d4465f007dea1a494a0,Transforming the Language of Life: Transformer Neural Networks for Protein Prediction Tasks,"The scientific community is rapidly generating protein sequence information, but only a fraction of these proteins can be experimentally characterized. While promising deep learning approaches for protein prediction tasks have emerged, they have computational limitations or are designed to solve a specific task. We present a Transformer neural network that pre-trains task-agnostic sequence representations. This model is fine-tuned to solve two different protein prediction tasks: protein family classification and protein interaction prediction. Our method is comparable to existing state-of-the art approaches for protein family classification, while being much more general than other architectures. Further, our method outperforms all other approaches for protein interaction prediction. These results offer a promising framework for fine-tuning the pre-trained sequence representations for other protein prediction tasks.",2020,129,"{'url': 'https://dl.acm.org/doi/pdf/10.1145/3388440.3412467', 'status': 'GREEN', 'license': 'CCBY', 'disclaimer': 'Notice: This abstract is extracted from the open access paper or abstract available at https://api.unpaywall.org/v2/10.1145/3388440.3412467?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1145/3388440.3412467, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","['Computer Science', 'Biology']","[{'authorId': '89079970', 'name': 'Ananthan Nambiar'}, {'authorId': '2108639014', 'name': 'Simon Liu'}, {'authorId': '2008176569', 'name': 'Mark Hopkins'}, {'authorId': '1753522600', 'name': 'Maeve Heflin'}, {'authorId': '145283914', 'name': 'S. Maslov'}, {'authorId': '40336357', 'name': 'Anna M. Ritz'}]"
2ae37891b8bc27dec393e9f862678772c9ef41d6,COVID-19 Chest X-ray Classification and Severity Assessment Using Convolutional and Transformer Neural Networks,"The coronavirus pandemic started in Wuhan, China in December 2019, and put millions of people in a difficult situation. This fatal virus spread to over 227 countries and the number of infected patients increased to over 400 million cases, causing over 6 million deaths worldwide. Due to the serious consequence of this virus, it is necessary to develop a detection method that can respond quickly to prevent the spreading of COVID-19. Using chest X-ray images to detect COVID-19 is one of the promising techniques; however, with a large number of COVID-19 infected cases every day, the number of radiologists available to diagnose the chest X-ray images is not sufficient. We must have a computer aid system that helps doctors instantly and automatically determine COVID-19 cases. Recently, with the emergence of deep learning methods applied for medical and biomedical uses, using convolutional neural net and transformer applications for chest X-ray images can be a supplement for COVID-19 testing. In this paper, we attempt to classify three types of chest X-ray, which are normal, pneumonia, and COVID-19 using deep learning methods on a customized dataset. We also carry out an experiment on the COVID-19 severity assessment task using a tailored dataset. Five deep learning models were obtained to conduct our experiments: DenseNet121, ResNet50, InceptionNet, Swin Transformer, and Hybrid EfficientNet-DOLG neural networks. The results indicated that chest X-ray and deep learning could be reliable methods for supporting doctors in COVID-19 identification and severity assessment tasks.",2022,27,"{'url': 'https://www.mdpi.com/2076-3417/12/10/4861/pdf?version=1652692181', 'status': 'GOLD', 'license': 'CCBY', 'disclaimer': 'Notice: This abstract is extracted from the open access paper or abstract available at https://api.unpaywall.org/v2/10.3390/app12104861?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.3390/app12104861, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",['Medicine'],"[{'authorId': '2165012998', 'name': 'Tuan Le Dinh'}, {'authorId': '34795039', 'name': 'Suk-Hwan Lee'}, {'authorId': '9416995', 'name': 'Seong-Geun Kwon'}, {'authorId': '1714367', 'name': 'Ki-Ryong Kwon'}]"
432210559eddc86693665b11780efbaf47864f85,SyntaLinker: automatic fragment linking with deep conditional transformer neural networks,"Linking fragments to generate a focused compound library for a specific drug target is one of the challenges in fragment-based drug design (FBDD). Hereby, we propose a new program named SyntaLinker, which is based on a syntactic pattern recognition approach using deep conditional transformer neural networks. This state-of-the-art transformer can link molecular fragments automatically by learning from the knowledge of structures in medicinal chemistry databases (e.g. ChEMBL database). Conventionally, linking molecular fragments was viewed as connecting substructures that were predefined by empirical rules. In SyntaLinker, however, the rules of linking fragments can be learned implicitly from known chemical structures by recognizing syntactic patterns embedded in SMILES notations. With deep conditional transformer neural networks, SyntaLinker can generate molecular structures based on a given pair of fragments and additional restrictions. Case studies have demonstrated the advantages and usefulness of SyntaLinker in FBDD.",2020,63,"{'url': 'https://pubs.rsc.org/en/content/articlepdf/2020/sc/d0sc03126g', 'status': 'GOLD', 'license': 'CCBYNC', 'disclaimer': 'Notice: This abstract is extracted from the open access paper or abstract available at https://pmc.ncbi.nlm.nih.gov/articles/PMC8163338, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}","['Computer Science', 'Medicine']","[{'authorId': '2108572636', 'name': 'Yuyao Yang'}, {'authorId': '66119300', 'name': 'Shuangjia Zheng'}, {'authorId': '122786948', 'name': 'Shimin Su'}, {'authorId': '151480423', 'name': 'Chao Zhao'}, {'authorId': '46372524', 'name': 'Jun Xu'}, {'authorId': '47666639', 'name': 'Hongming Chen'}]"
f8cdb94c0446f3170cbb32ad6019b21839c4b237,Words to Matter: De novo Architected Materials Design Using Transformer Neural Networks,"Transformer neural networks have become widely used in a variety of AI applications, enabling significant advances in Natural Language Processing (NLP) and computer vision. Here we demonstrate the use of transformer neural networks in the de novo design of architected materials using a unique approach based on text input that enables the design to be directed by descriptive text, such as “a regular lattice of steel”. Since transformer neural nets enable the conversion of data from distinct forms into one another, including text into images, such methods have the potential to be used as a natural-language-driven tool to develop complex materials designs. In this study we use the Contrastive Language-Image Pre-Training (CLIP) and VQGAN neural networks in an iterative process to generate images that reflect text prompt driven materials designs. We then use the resulting images to generate three-dimensional models that can be realized using additive manufacturing, resulting in physical samples of these text-based materials. We present several such word-to-matter examples, and analyze 3D printed material specimen through associated additional finite element analysis, especially focused on mechanical properties including mechanism design. As an emerging new field, such language-based design approaches can have profound impact, including the use of transformer neural nets to generate machine code for 3D printing, optimization of processing conditions, and other end-to-end design environments that intersect directly with human language.",2021,24,"{'url': 'https://www.frontiersin.org/articles/10.3389/fmats.2021.740754/pdf', 'status': 'GOLD', 'license': 'CCBY', 'disclaimer': 'Notice: This abstract is extracted from the open access paper or abstract available at https://api.unpaywall.org/v2/10.3389/fmats.2021.740754?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.3389/fmats.2021.740754, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the license and copyright information for your use.'}",,"[{'authorId': '36468923', 'name': 'Zhenze Yang'}, {'authorId': '2273480', 'name': 'M. Buehler'}]"
